id,name,brand,type,note,link
IMG_20220912_0018_2_2,orgona,pennonia ,ink,,
IMG_20220912_0019_0_0,cobalt violet pr110,paul rubens,tube watercolor,,
IMG_20220912_0019_0_1,purple rain,foxandquills,ink,pigment,
IMG_20220912_0019_0_2,lilac a408,arteza,tube gouache,,
IMG_20220912_0019_1_0,opera purple,paul rubens,tube watercolor,neon,
IMG_20220912_0019_1_1,grape,diamine,ink,,
IMG_20220912_0019_1_2,amethyst genuine,daniel smith,tube watercolor,,
IMG_20220912_0019_2_0,imperial purple,daniel smith,tube watercolor,,
IMG_20220912_0019_2_1,pearl lavender a706,arteza,tube gouache,,
IMG_20220912_0019_2_2,amazing amethyst,diamine,ink,,
IMG_20220912_0020_0_0,623,handmade,pan watercolor,,
IMG_20220912_0020_0_1,pink pr,paul rubens,tube watercolor,opaque,
IMG_20220912_0020_0_2,opera peach,paul rubens,tube watercolor,,
IMG_20220912_0020_1_0,cosmos,spectrum noir,ink,discontinued,
IMG_20220912_0020_1_1,opera pink,paul rubens,tube watercolor,,
IMG_20220912_0020_1_2,opera rose,paul rubens,tube watercolor,,
IMG_20220912_0020_2_0,hope pink,diamine,ink,,
IMG_20220912_0020_2_1,peach red a403,arteza,tube gouache,,
IMG_20220912_0020_2_2,opera cherry pr112,paul rubens,tube watercolor,,
IMG_20220912_0021_0_0,wisteria,daniel smith,tube watercolor,,
IMG_20220912_0021_0_1,violet de sureau,L'Artisan Pastellier Vegetable Ink,ink,,
IMG_20220912_0021_0_2,bordeaux red,paul rubens,tube watercolor,,
IMG_20220912_0021_1_0,opera violet,paul rubens,tube watercolor,,
IMG_20220912_0021_1_1,winter miracle,diamine,ink,,
IMG_20220912_0021_1_2,burnt sienna,paul rubens,tube watercolor,,
IMG_20220912_0021_2_0,violet pale pr217,paul rubens,tube watercolor,,
IMG_20220912_0021_2_1,rose a404,arteza,tube gouache,,
IMG_20220912_0021_2_2,peach a401,arteza,tube gouache,,
IMG_20220912_0022_0_0,alt bordeaux ,Rohrer & Klingner Fountain Pen Ink,ink,,
IMG_20220912_0022_0_1,winter's blood,diamine,ink,,
IMG_20220912_0022_0_2,aphrodite pink,Laban Greek Mythology,ink,,
IMG_20220912_0022_1_0,merlot,diamine,ink,,
IMG_20220912_0022_1_1,syrah,diamine,ink,,
IMG_20220912_0022_1_2,mauve a407,arteza,tube gouache,,
IMG_20220912_0022_2_0,ox blood,diamine,ink,,
IMG_20220912_0022_2_1,rose of ultramarine,daniel smith,tube watercolor,,
IMG_20220912_0022_2_2,empty,empty,empty,,
IMG_20220912_0023_0_0,quinacridone rose,daniel smith,tube watercolor,,
IMG_20220912_0023_0_1,all the best,daniel smith,ink,,
IMG_20220912_0023_0_2,pearl bubble gum pink a704,arteza,tube watercolor,,
IMG_20220912_0023_1_0,magenta pr111,paul rubens,tube watercolor,,
IMG_20220912_0023_1_1,rhodonite 260,lamy,ink,,
IMG_20220912_0023_1_2,blush pink a402,arteza,tube watercolor,,
IMG_20220912_0023_2_0,quinacridone magenta,daniel smith,tube watercolor,,
IMG_20220912_0023_2_1,wine berry a405,arteza,tube watercolor,,
IMG_20220912_0023_2_2,pearl coral a705,arteza,tube watercolor,,
IMG_20220912_0024_0_0,rhodonite genuine,daniel smith,tube watercolor,,
IMG_20220912_0024_0_1,rouge cochenille,L'Artisan Pastellier Vegetable Ink,ink,,
IMG_20220912_0024_0_2,pink ice,spectrum noir,ink,discontinued,
IMG_20220912_0024_1_0,r3,handmade,pan watercolor,,
IMG_20220912_0024_1_1,passion red,diamine,ink,,
IMG_20220912_0024_1_2,scarlet red a201,arteza,tube watercolor,,
IMG_20220912_0024_2_0,tokyo gift,noodler's ink,ink,,
IMG_20220912_0024_2_1,vermilion red a200,arteza,tube gouache,,
IMG_20220912_0024_2_2,mauve pr109,paul rubens,tube watercolor,,
IMG_20220912_0025_0_0,opera light red,paul rubens,tube watercolor,,
IMG_20220912_0025_0_1,vermilion pr105,paul rubens,tube watercolor,,
IMG_20220912_0025_0_2,scarlet lake pr104,paul rubens,tube watercolor,,
IMG_20220912_0025_1_0,wistful watermelon,diamine,ink,,
IMG_20220912_0025_1_1,sikatuna,Vinta Sheening Bottled Ink,ink,,https://www.cultpens.com/i/q/VN69175/vinta-sheening-bottled-ink-30ml
IMG_20220912_0025_1_2,ares red,Laban Greek Mythology,ink,,
IMG_20220912_0025_2_0,pyrrol scarlet,daniel smith,tube watercolor,,
IMG_20220912_0025_2_1,wild strawberry,diamine,ink,,
IMG_20220912_0025_2_2,r1,handmade,pan watercolor,,
IMG_20220912_0026_0_0,rose madder permanent,daniel smith,tube watercolor,,
IMG_20220912_0026_0_1,alizarin crimson,daniel smith,tube watercolor,,
IMG_20220912_0026_0_2,candy apple,foxandquills,ink,pigment,
IMG_20220912_0026_1_0,opera red,paul rubens,tube watercolor,,
IMG_20220912_0026_1_1,maroon,diamine,ink,,
IMG_20220912_0026_1_2,noel,diamine,ink,,
IMG_20220912_0026_2_0,carmine pr,paul rubens,tube watercolor,,
IMG_20220912_0026_2_1,crimson lake pr,paul rubens,tube watercolor,,
IMG_20220912_0026_2_2,crimson red a202,arteza,tube gouache,,
IMG_20220912_0027_0_0,opera golden,paul rubens,tube watercolor,,
IMG_20220912_0027_0_1,wonderland,diamine,ink,inkvent red ,
IMG_20220912_0027_0_2,pearl apricot a701,arteza,tube watercolor,,
IMG_20220912_0027_1_0,empty,empty,empty,empty,
IMG_20220912_0027_1_1,saffron orange,paul rubens,tube watercolor,,
IMG_20220912_0027_1_2,light apricot,paul rubens,tube watercolor,,
IMG_20220912_0027_2_0,625,handmade,pan watercolor,,
IMG_20220912_0027_2_1,orange a108,arteza,tube gouache,,
IMG_20220912_0027_2_2,peach punch,diamine,ink,,
IMG_20220912_0028_0_0,o1,handmade,pan watercolor,,
IMG_20220912_0028_0_1,orange pr124,paul rubens,tube watercolor,,
IMG_20220912_0028_0_2,harvest moon,spectrum noir,ink,discontinued,
IMG_20220912_0028_1_0,gruntled guava,diamine,ink,fresh fruit,https://www.cultpens.com/i/q/CU90576/cult-pens-fresh-fruit-fountain-pen-ink-by-diamine-30ml
IMG_20220912_0028_1_1,firefly,diamine,ink,,
IMG_20220912_0028_1_2,orange red a109,arteza,tube gouache,,
IMG_20220912_0028_2_0,quinacridone sienna,daniel smith,tube watercolor,,
IMG_20220912_0028_2_1,transparent pyrrol orange,daniel smith,tube watercolor,,
IMG_20220912_0028_2_2,mango,troublemaker,ink,,
IMG_20220912_0029_0_0,rose quartz,spectrum noir,ink,discontinued,
IMG_20220912_0029_0_1,solar red,spectrum noir,ink,discontinued,
